PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
20,https://jobsbyculture.com/compare/openai-vs-vast,OpenAI vs Vast AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"OpenAI (4.5 Glassdoor, 3.6 WLB) vs Vast AI (5.0 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",OpenAI vs Vast AI: Culture Compared,"OpenAI
Vast AI",478,12,1,<truncated>,2817,1570684072316943434,
20,https://jobsbyculture.com/compare/anthropic-vs-cursor,Anthropic vs Cursor (Anysphere): Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Cursor (Anysphere) (4.0 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Cursor (Anysphere): Culture Compared,"Anthropic
Cursor (Anysphere)",521,12,1,<truncated>,3279,15055044674854912311,
20,https://jobsbyculture.com/compare/datadog-vs-ramp,Datadog vs Ramp: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Datadog (4.2 Glassdoor, 3.8 WLB) vs Ramp (4.2 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Datadog vs Ramp: Culture Compared,"Datadog
Ramp",517,12,1,<truncated>,3176,16623416825952137551,
20,https://jobsbyculture.com/compare/airbnb-vs-brex,Airbnb vs Brex: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Airbnb (4.1 Glassdoor, 4.0 WLB) vs Brex (4.0 Glassdoor, 3.9 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Airbnb vs Brex: Culture Compared,"Airbnb
Brex",531,12,1,<truncated>,3340,16671362433681073461,
20,https://jobsbyculture.com/compare/incidentio-vs-runway,incident.io vs Runway: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"incident.io (4.5 Glassdoor, 4.1 WLB) vs Runway (4.5 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",incident.io vs Runway: Culture Compared,"incident.io
Runway",442,12,1,<truncated>,2857,16104578896878317535,
20,https://jobsbyculture.com/compare/crusoe-vs-plaid,Crusoe vs Plaid: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Crusoe (4.3 Glassdoor, 3.5 WLB) vs Plaid (4.6 Glassdoor, 4.2 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Crusoe vs Plaid: Culture Compared,"Crusoe
Plaid",547,12,1,<truncated>,3388,14141803999514233489,
20,https://jobsbyculture.com/compare/datadog-vs-fireworksai,Datadog vs Fireworks AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Datadog (4.2 Glassdoor, 3.8 WLB) vs Fireworks AI (4.2 Glassdoor, 3.3 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Datadog vs Fireworks AI: Culture Compared,"Datadog
Fireworks AI",539,12,1,<truncated>,3329,14782728248323744611,
20,https://jobsbyculture.com/compare/apollo-vs-replit,Apollo.io vs Replit: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Apollo.io (4.0 Glassdoor, 3.6 WLB) vs Replit (4.0 Glassdoor, 3.9 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Apollo.io vs Replit: Culture Compared,"Apollo.io
Replit",450,12,1,<truncated>,2896,2910036574347169477,
20,https://jobsbyculture.com/locations/new-york/hr-people,HR / People Jobs in New York City | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,true,Browse 31 hr / people jobs in New York City at 12 culture-rated AI & tech companies. Filter by culture values to find roles that match how you work.,🗽 HR / People Jobs in New York City,"Companies hiring hr / people in New York City
Latest hr / people jobs in New York City
HR / People jobs in New York City
Other roles in New York City
HR / People jobs in other locations",877,42,12,<truncated>,5293,16923473774243009728,
20,https://jobsbyculture.com/compare/apollo-vs-mistral,Apollo.io vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Apollo.io (4.0 Glassdoor, 3.6 WLB) vs Mistral AI (4.0 Glassdoor, 3.6 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Apollo.io vs Mistral AI: Culture Compared,"Apollo.io
Mistral AI",489,12,1,<truncated>,3054,15326183170081147685,
20,https://jobsbyculture.com/compare/apollo-vs-brex,Apollo.io vs Brex: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Apollo.io (4.0 Glassdoor, 3.6 WLB) vs Brex (4.0 Glassdoor, 3.9 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Apollo.io vs Brex: Culture Compared,"Apollo.io
Brex",482,12,1,<truncated>,3116,18109347313674361142,
20,https://jobsbyculture.com/compare/cohere-vs-ramp,Cohere vs Ramp: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Cohere (2.9 Glassdoor, 3.5 WLB) vs Ramp (4.2 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Cohere vs Ramp: Culture Compared,"Cohere
Ramp",494,12,1,<truncated>,3026,13989456331459896035,
20,https://jobsbyculture.com/compare/stripe-vs-weaviate,Stripe vs Weaviate: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Stripe (4.0 Glassdoor, 3.6 WLB) vs Weaviate (4.3 Glassdoor, 4.2 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Stripe vs Weaviate: Culture Compared,"Stripe
Weaviate",461,12,1,<truncated>,2893,1866085267748573006,
20,https://jobsbyculture.com/compare/incidentio-vs-tailscale,incident.io vs Tailscale: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"incident.io (4.5 Glassdoor, 4.1 WLB) vs Tailscale (4.4 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",incident.io vs Tailscale: Culture Compared,"incident.io
Tailscale",426,12,1,<truncated>,2847,755812918079588269,
20,https://jobsbyculture.com/compare/fireworksai-vs-mercury,Fireworks AI vs Mercury: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Fireworks AI (4.2 Glassdoor, 3.3 WLB) vs Mercury (4.3 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Fireworks AI vs Mercury: Culture Compared,"Fireworks AI
Mercury",542,12,1,<truncated>,3353,1517522161143676462,
20,https://jobsbyculture.com/locations/remote/legal,Legal Jobs in Remote | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,true,Browse 18 legal jobs in Remote at 7 culture-rated AI & tech companies. Filter by culture values to find roles that match how you work.,🌍 Legal Jobs in Remote,"Companies hiring legal in Remote
Latest legal jobs in Remote
Legal jobs in Remote
Other roles in Remote
Legal jobs in other locations",627,35,14,<truncated>,3937,17147627470533676493,
20,https://jobsbyculture.com/compare/airtable-vs-cohere,Airtable vs Cohere: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Airtable (4.1 Glassdoor, 4.0 WLB) vs Cohere (2.9 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Airtable vs Cohere: Culture Compared,"Airtable
Cohere",483,12,1,<truncated>,3100,4027352916002176676,
20,https://jobsbyculture.com/compare/mistral-vs-posthog,Mistral AI vs PostHog: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Mistral AI (4.0 Glassdoor, 3.6 WLB) vs PostHog (4.3 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Mistral AI vs PostHog: Culture Compared,"Mistral AI
PostHog",440,12,1,<truncated>,2742,2796360194941770309,
20,https://jobsbyculture.com/compare/incidentio-vs-modal,incident.io vs Modal: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"incident.io (4.5 Glassdoor, 4.1 WLB) vs Modal (4.0 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",incident.io vs Modal: Culture Compared,"incident.io
Modal",457,12,1,<truncated>,2974,18016936070630189664,
20,https://jobsbyculture.com/compare/figma-vs-mercury,Figma vs Mercury: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Figma (3.7 Glassdoor, 3.1 WLB) vs Mercury (4.3 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Figma vs Mercury: Culture Compared,"Figma
Mercury",531,12,1,<truncated>,3282,14820735986023476493,
20,https://jobsbyculture.com/compare/incidentio-vs-pylon,incident.io vs Pylon: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"incident.io (4.5 Glassdoor, 4.1 WLB) vs Pylon (3.0 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",incident.io vs Pylon: Culture Compared,"incident.io
Pylon",411,12,1,<truncated>,2654,14478079998157828726,
20,https://jobsbyculture.com/compare/pinecone-vs-scale,Pinecone vs Scale AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Pinecone (4.2 Glassdoor, 4.3 WLB) vs Scale AI (3.5 Glassdoor, 2.7 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Pinecone vs Scale AI: Culture Compared,"Pinecone
Scale AI",493,12,1,<truncated>,3065,2637778471750755215,
20,https://jobsbyculture.com/compare/notion-vs-pinecone,Notion vs Pinecone: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Notion (4.4 Glassdoor, 4.2 WLB) vs Pinecone (4.2 Glassdoor, 4.3 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Notion vs Pinecone: Culture Compared,"Notion
Pinecone",443,12,1,<truncated>,2838,17998305185370988557,
20,https://jobsbyculture.com/compare/anthropic-vs-replit,Anthropic vs Replit: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Replit (4.0 Glassdoor, 3.9 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Replit: Culture Compared,"Anthropic
Replit",485,12,1,<truncated>,3050,2769048138929178511,
20,https://jobsbyculture.com/compare/modal-vs-vast,Modal vs Vast AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Modal (4.0 Glassdoor, 3.8 WLB) vs Vast AI (5.0 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Modal vs Vast AI: Culture Compared,"Modal
Vast AI",492,12,1,<truncated>,2953,640406352225205580,
20,https://jobsbyculture.com/compare/figma-vs-mistral,Figma vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Figma (3.7 Glassdoor, 3.1 WLB) vs Mistral AI (4.0 Glassdoor, 3.6 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Figma vs Mistral AI: Culture Compared,"Figma
Mistral AI",512,12,1,<truncated>,3086,14902185560490622569,
20,https://jobsbyculture.com/compare/anthropic-vs-modal,Anthropic vs Modal: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Modal (4.0 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Modal: Culture Compared,"Anthropic
Modal",520,12,1,<truncated>,3267,1571010085112394033,
20,https://jobsbyculture.com/compare/airbnb-vs-baseten,Airbnb vs Baseten: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Airbnb (4.1 Glassdoor, 4.0 WLB) vs Baseten (4.3 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Airbnb vs Baseten: Culture Compared,"Airbnb
Baseten",477,12,1,<truncated>,2975,14264325619694576491,
20,https://jobsbyculture.com/compare/figma-vs-fireworksai,Figma vs Fireworks AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Figma (3.7 Glassdoor, 3.1 WLB) vs Fireworks AI (4.2 Glassdoor, 3.3 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Figma vs Fireworks AI: Culture Compared,"Figma
Fireworks AI",516,12,1,<truncated>,3181,4468603376193375129,
20,https://jobsbyculture.com/compare/databricks-vs-modal,Databricks vs Modal: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Databricks (4.1 Glassdoor, 3.9 WLB) vs Modal (4.0 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Databricks vs Modal: Culture Compared,"Databricks
Modal",511,12,1,<truncated>,3202,17780886184658607667,
20,https://jobsbyculture.com/compare/airtable-vs-plaid,Airtable vs Plaid: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Airtable (4.1 Glassdoor, 4.0 WLB) vs Plaid (4.6 Glassdoor, 4.2 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Airtable vs Plaid: Culture Compared,"Airtable
Plaid",509,12,1,<truncated>,3262,16249306941840655761,
20,https://jobsbyculture.com/compare/perplexity-vs-tailscale,Perplexity AI vs Tailscale: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Perplexity AI (4.7 Glassdoor, 3.3 WLB) vs Tailscale (4.4 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Perplexity AI vs Tailscale: Culture Compared,"Perplexity AI
Tailscale",488,12,1,<truncated>,3108,16156244969063823343,
20,https://jobsbyculture.com/compare/anthropic-vs-ramp,Anthropic vs Ramp: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Ramp (4.2 Glassdoor, 3.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Ramp: Culture Compared,"Anthropic
Ramp",517,12,1,<truncated>,3211,17890317712490775657,
20,https://jobsbyculture.com/compare/mercury-vs-posthog,Mercury vs PostHog: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Mercury (4.3 Glassdoor, 3.8 WLB) vs PostHog (4.3 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Mercury vs PostHog: Culture Compared,"Mercury
PostHog",481,12,1,<truncated>,3082,15396440639731720713,
20,https://jobsbyculture.com/locations/dublin/engineering,Engineering Jobs in Dublin | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,true,Browse 39 engineering jobs in Dublin at 7 culture-rated AI & tech companies. Filter by culture values to find roles that match how you work.,🇮🇪 Engineering Jobs in Dublin,"Companies hiring engineering in Dublin
Latest engineering jobs in Dublin
Engineering jobs in Dublin
Other roles in Dublin
Engineering jobs in other locations",726,39,17,<truncated>,4724,14476058652309311548,
20,https://jobsbyculture.com/compare/datadog-vs-mistral,Datadog vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Datadog (4.2 Glassdoor, 3.8 WLB) vs Mistral AI (4.0 Glassdoor, 3.6 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Datadog vs Mistral AI: Culture Compared,"Datadog
Mistral AI",526,12,1,<truncated>,3189,16105227338139245681,
20,https://jobsbyculture.com/locations/seattle/engineering,Engineering Jobs in Seattle | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,true,Browse 232 engineering jobs in Seattle at 10 culture-rated AI & tech companies. Filter by culture values to find roles that match how you work.,🌲 Engineering Jobs in Seattle,"Companies hiring engineering in Seattle
Latest engineering jobs in Seattle
Engineering jobs in Seattle
Other roles in Seattle
Engineering jobs in other locations",889,45,18,<truncated>,5614,1445605522293546436,
20,https://jobsbyculture.com/compare/anthropic-vs-linear,Anthropic vs Linear: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Linear (4.6 Glassdoor, 4.4 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Linear: Culture Compared,"Anthropic
Linear",508,12,1,<truncated>,3194,2828963358138931983,
20,https://jobsbyculture.com/locations/san-francisco/finance,Finance Jobs in San Francisco Bay Area | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,true,Browse 81 finance jobs in San Francisco Bay Area at 21 culture-rated AI & tech companies. Filter by culture values to find roles that match how you work.,🌉 Finance Jobs in San Francisco Bay Area,"Companies hiring finance in San Francisco Bay Area
Latest finance jobs in San Francisco Bay Area
Finance jobs in San Francisco Bay Area
Other roles in San Francisco Bay Area
Finance jobs in other locations",993,48,23,<truncated>,6253,16599648214698774241,
20,https://jobsbyculture.com/compare/databricks-vs-tailscale,Databricks vs Tailscale: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Databricks (4.1 Glassdoor, 3.9 WLB) vs Tailscale (4.4 Glassdoor, 4.5 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Databricks vs Tailscale: Culture Compared,"Databricks
Tailscale",465,12,1,<truncated>,3016,3514658681092673381,
20,https://jobsbyculture.com/compare/pinecone-vs-runway,Pinecone vs Runway: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Pinecone (4.2 Glassdoor, 4.3 WLB) vs Runway (4.5 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Pinecone vs Runway: Culture Compared,"Pinecone
Runway",467,12,1,<truncated>,2948,16390699411008637817,
20,https://jobsbyculture.com/blog/working-at-supabase-2026,"Working at Supabase in 2026: Culture, Compensation & What Employees Say | JobsByCulture",text/html; charset=utf-8,false,200,0,true,"What's it really like working at Supabase in 2026? 4.8 Glassdoor but only 3.0 WLB — 100% recommend yet relentless pace. Open source, fully remote, $5B valuation. The real story.",Working at Supabase in 2026,"The Numbers at a Glance
The Supabase Paradox: Highest Rated, Lowest WLB
What Makes Supabase Different
Fully Remote, Genuinely Global
Engineering Culture & Tech Stack
Glassdoor Ratings Breakdown
Compensation & Benefits
What Employees Love
What Employees Warn About
How Supabase Compares
Open Roles at Supabase
The Bottom Line
More from The Culture Report",2775,28,1,<truncated>,17905,16777022095601044984,
20,https://jobsbyculture.com/compare/figma-vs-runway,Figma vs Runway: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Figma (3.7 Glassdoor, 3.1 WLB) vs Runway (4.5 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Figma vs Runway: Culture Compared,"Figma
Runway",495,12,1,<truncated>,3040,18431371378578870426,
20,https://jobsbyculture.com/compare/databricks-vs-fireworksai,Databricks vs Fireworks AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Databricks (4.1 Glassdoor, 3.9 WLB) vs Fireworks AI (4.2 Glassdoor, 3.3 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Databricks vs Fireworks AI: Culture Compared,"Databricks
Fireworks AI",530,12,1,<truncated>,3291,14802086495893969811,
20,https://jobsbyculture.com/compare/crusoe-vs-modal,Crusoe vs Modal: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Crusoe (4.3 Glassdoor, 3.5 WLB) vs Modal (4.0 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Crusoe vs Modal: Culture Compared,"Crusoe
Modal",519,12,1,<truncated>,3234,4135054172950721893,
20,https://jobsbyculture.com/compare/datadog-vs-supabase,Datadog vs Supabase: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Datadog (4.2 Glassdoor, 3.8 WLB) vs Supabase (4.8 Glassdoor, 3.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Datadog vs Supabase: Culture Compared,"Datadog
Supabase",483,12,1,<truncated>,3070,4531120710656899946,
20,https://jobsbyculture.com/compare/deepmind-vs-together,Google DeepMind vs Together AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Google DeepMind (4.2 Glassdoor, 4.0 WLB) vs Together AI (4.1 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Google DeepMind vs Together AI: Culture Compared,"Google DeepMind
Together AI",508,12,1,<truncated>,3161,15713644442442227261,
20,https://jobsbyculture.com/compare/baseten-vs-datadog,Baseten vs Datadog: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Baseten (4.3 Glassdoor, 3.5 WLB) vs Datadog (4.2 Glassdoor, 3.8 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Baseten vs Datadog: Culture Compared,"Baseten
Datadog",509,12,1,<truncated>,3212,50696420579121284,
20,https://jobsbyculture.com/compare/anthropic-vs-databricks,Anthropic vs Databricks: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Anthropic (4.4 Glassdoor, 3.7 WLB) vs Databricks (4.1 Glassdoor, 3.9 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Anthropic vs Databricks: Culture Compared,"Anthropic
Databricks",506,12,1,<truncated>,3211,16105713226510321700,
20,https://jobsbyculture.com/compare/figma-vs-langchain,Figma vs LangChain: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Figma (3.7 Glassdoor, 3.1 WLB) vs LangChain (4.6 Glassdoor, 4.0 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Figma vs LangChain: Culture Compared,"Figma
LangChain",483,12,1,<truncated>,3029,14537784505103741411,
20,https://jobsbyculture.com/compare/airbnb-vs-mistral,Airbnb vs Mistral AI: Culture & Glassdoor Compared | JobsByCulture,text/html; charset=utf-8,false,200,0,true,"Airbnb (4.1 Glassdoor, 4.0 WLB) vs Mistral AI (4.0 Glassdoor, 3.6 WLB). Side-by-side comparison of culture values, compensation, pros & cons, and open roles.",Airbnb vs Mistral AI: Culture Compared,"Airbnb
Mistral AI",519,12,1,<truncated>,3149,3476487501148224518,
